Tipologia di rifiuto differenziato,Anno,Territorio,Tipo dato,0,Flags
"totale","2009","Novara","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",339.01301,
"totale","2010","Novara","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",338.4787,
"totale","2011","Novara","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",321.74149,
"totale","2012","Novara","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",307.94978,
"totale","2000","Novara","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",22.90355,
"totale","2001","Novara","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",28.05774,
"totale","2002","Novara","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",30.32701,
"totale","2003","Novara","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",28.98059,
"totale","2004","Novara","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",33.60676,
"totale","2005","Novara","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",51.56518,
"totale","2006","Novara","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",67.3195,
"totale","2007","Novara","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",70.64459,
"totale","2008","Novara","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",72.37189,
"totale","2009","Novara","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",72.96358,
"totale","2010","Novara","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",72.61094,
"totale","2011","Novara","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",72.57145,
"totale","2012","Novara","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",72.55683,
"totale","2000","Novara","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2001","Novara","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2002","Novara","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2003","Novara","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2004","Novara","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2005","Novara","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2006","Novara","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2007","Novara","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2008","Novara","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2009","Novara","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2010","Novara","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2011","Novara","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2000","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",116.61509,
"totale","2001","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",161.01283,
"totale","2002","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",177.14136,
"totale","2003","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",181.62294,
"totale","2004","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",216.26939,
"totale","2005","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",195.76783,
"totale","2006","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",179.05099,
"totale","2007","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",275.67962,
"totale","2008","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",291.29989,
"totale","2009","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",357.90051,
"totale","2010","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",363.05157,
"totale","2011","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",291.80636,
"totale","2012","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",241.91034,
"totale","2000","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",21.18191,
"totale","2001","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",29.12789,
"totale","2002","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",31.70662,
"totale","2003","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",33.77,
"totale","2004","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",37.1938,
"totale","2005","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",34.71615,
"totale","2006","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",32.00849,
"totale","2007","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",43.00085,
"totale","2008","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",45.25403,
"totale","2009","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",51.29409,
"totale","2010","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",50.55942,
"totale","2011","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",49.06429,
