VariableCode,RegionCode,YearCode,AggValue
rgdpo,NZL,2011,141198.73437500000000000
rgdpo,OMN,2011,142699.04687500000000000
rgdpo,PAN,2011,61718.21875000000000000
rgdpo,PER,2011,298901.00000000000000000
rgdpo,PHL,2011,552923.50000000000000000
rgdpo,PAK,2011,775249.43750000000000000
rgdpo,POL,2011,842787.56250000000000000
rgdpo,PSE,2011,20332.50781250000000000
rgdpo,PRT,2011,265376.09375000000000000
rgdpo,PRY,2011,46426.47265625000000000
rgdpo,QAT,2011,296358.56250000000000000
rgdpo,ROU,2011,345392.12500000000000000
rgdpo,SRB,2011,90158.08593750000000000
rgdpo,RUS,2011,3312510.75000000000000000
rgdpo,RWA,2011,15296.26171875000000000
rgdpo,SAU,2011,1395365.25000000000000000
rgdpo,SYC,2011,2021.18627929688000000
rgdpo,SDN,2011,173154.00000000000000000
rgdpo,SWE,2011,398176.40625000000000000
rgdpo,SGP,2011,320127.28125000000000000
rgdpo,SVN,2011,53544.31640625000000000
rgdpo,SXM,2011,1085.15490722656000000
rgdpo,SVK,2011,121664.66406250000000000
rgdpo,SLE,2011,8736.68750000000000000
rgdpo,SEN,2011,28363.32031250000000000
rgdpo,SUR,2011,6814.05175781250000000
rgdpo,STP,2011,555.15600585937500000
rgdpo,SLV,2011,45704.80859375000000000
rgdpo,SYR,2011,122579.44531250000000000
rgdpo,SWZ,2011,8959.27246093750000000
rgdpo,TCA,2011,260.15957641601600000
rgdpo,TCD,2011,20427.22656250000000000
rgdpo,TGO,2011,8056.60498046875000000
rgdpo,THA,2011,890994.37500000000000000
rgdpo,TJK,2011,24123.12500000000000000
rgdpo,TKM,2011,84351.71093750000000000
rgdpo,TUN,2011,112292.23437500000000000
rgdpo,TUR,2011,1317385.50000000000000000
rgdpo,TTO,2011,39703.49609375000000000
rgdpo,TWN,2011,894465.25000000000000000
rgdpo,TZA,2011,101998.40625000000000000
rgdpo,UKR,2011,469924.62500000000000000
rgdpo,UGA,2011,64755.16796875000000000
rgdpo,USA,2011,15517930.00000000000000000
rgdpo,URY,2011,58268.63671875000000000
rgdpo,UZB,2011,208273.21875000000000000
rgdpo,VCT,2011,932.71527099609400000
rgdpo,VEN,2011,522227.46875000000000000
rgdpo,VGB,2011,816.36132812500000000
rgdpo,VNM,2011,427539.68750000000000000
rgdpo,YEM,2011,99074.67187500000000000
rgdpo,ZAF,2011,618362.81250000000000000
rgdpo,ZMB,2011,45965.42187500000000000
rgdpo,ZWE,2011,21592.29882812500000000
